"Name","Latitude","Longitude","Elevation","X","Y","Z"
"TKBG00JPN","36.0675","140.1312","69.5000","-3961600.1309","3308742.2256","3734249.1349"
"TLSE00FRA","43.5607","1.4809","207.6000","4627704.4564","119633.8367","4372853.2312"
"TLSG00FRA","43.5497","1.4850","209.2000","4628535.4751","119992.1420","4371969.7892"
"TNML00TWN","24.7979","120.9873","76.3000","-2982743.5285","4966605.6322","2658773.4155"
"TOAY00LAO","16.0734","106.6268","367.4000","-1754123.6119","5874061.9175","1754540.7890"
"TONG00TON","-20.8553","184.8208","56.7000","-5941695.6973","-501108.0880","-2256429.2924"
"TOPL00BRA","-9.8289","311.6693","256.9000","4178550.1803","-4694958.8349","-1081611.8919"
"TORP00USA","33.7978","241.6694","-4.8000","-2517896.9705","-4670262.9070","3527831.1541"
"TOW200AUS","-18.7307","147.0557","88.5000","-5070802.2312","3286014.0685","-2035144.6663"
"TRAK00USA","33.6179","242.1966","116.0000","-2479985.7623","-4703026.2072","3511236.6344"
"TRO100NOR","69.6627","18.9396","138.4000","2102883.5791","721603.7336","5958069.1838"
"TSK200JPN","36.1056","140.0871","70.4000","-3957140.9023","3310196.1510","3737664.0925"
"TSKB00JPN","36.1057","140.0875","67.7000","-3957157.7680","3310164.6064","3737674.0257"
"TUBI00TUR","40.7867","29.4507","222.3000","4211175.5090","2377784.1913","4144521.6253"
"TUVA00TUV","-7.4747","179.1966","38.8000","-6323674.9606","88681.1316","-824216.3042"
"TWTF00TWN","24.9536","121.1645","203.5000","-2994332.3634","4951156.4468","2674415.1138"
"UCAL00CAN","51.0800","245.8661","1119.2000","-1641663.5664","-3664173.6683","4939153.9319"
"UCLP00USA","34.0691","241.5581","112.0000","-2518964.8346","-4650592.7485","3552800.4692"
"UCLU00CAN","48.9256","234.4584","10.5000","-2440665.1392","-3416431.7924","4785129.4569"
"UFPR00BRA","-24.5516","310.7691","926.2000","3790629.3859","-4396284.3815","-2633987.9413"
"ULAB00MNG","47.8651","107.0523","1576.1000","-1257104.8699","4098412.2703","4706843.7279"
"ULDI00ZAF","-27.7069","31.4209","608.4000","4822259.4374","2945936.6309","-2947791.6633"
"UNB300CAN","45.9502","293.3583","23.3000","1761282.2871","-4078222.9706","4561402.6530"
"UNBD00CAN","45.9501","293.3585","23.5000","1761299.6476","-4078225.1445","4561394.0688"
"UNBJ00CAN","45.9502","293.3583","23.2000","1761282.2866","-4078222.9695","4561402.6518"
"UNBN00CAN","45.9502","293.3583","23.3000","1761282.2871","-4078222.9706","4561402.6530"
"UNSA00ARG","-23.2726","294.5924","1258.2000","2439639.2179","-5330511.7385","-2504484.7391"
"URAL00RUS","56.8383","60.6149","278.1000","1715940.5077","3047151.5346","5316074.3667"
"URUM00CHN","43.8079","87.6007","859.4000","193005.1021","4606243.2412","4392726.9100"
"USCL00CHL","-32.5501","289.3187","570.6000","1780314.7285","-5078476.1882","-3412016.6332"
"USN700USA","38.9206","282.9337","59.3000","1112152.1234","-4842811.5165","3985459.7699"
"USN800USA","38.9206","282.9337","59.3000","1112152.1234","-4842811.5165","3985459.7699"
"USN900USA","38.9206","282.9337","59.3000","1112152.1234","-4842811.5165","3985459.7699"
"USP100FJI","-17.8509","178.4464","71.0000","-6070755.6788","164655.6612","-1942685.3444"
"USUD00JPN","36.1331","138.3621","1509.0000","-3854369.0012","3426636.2966","3740146.3083"
"UTQI00USA","71.3227","203.3850","12.6000","-1880397.0674","-813134.9841","6019910.1175"
"UZHL00UKR","48.6320","22.2976","232.5000","3907448.7168","1602371.1928","4763612.2587"
"VACS00MUS","-19.7029","57.4970","420.7000","3227827.6996","5066094.6220","-2136765.7598"
"VALD00CAN","48.0971","282.4358","313.2000","919031.6114","-4167565.9603","4724094.6623"
"VILL00ESP","40.4436","356.0480","647.8000","4849351.5549","-335015.1219","4115601.4774"
"VIS000SWE","57.6539","18.3673","80.2000","3246431.4458","1077886.9001","5365211.3015"
"VNDP00USA","34.5563","239.3836","-11.1000","-2678094.6769","-4525445.9227","3597437.6393"
"VOIM00MDG","-20.0937","46.7933","1163.8000","4102524.0336","4367717.3445","-2177447.7483"
"WAB200CHE","46.9237","7.4642","611.5000","4326911.5108","566902.3396","4635987.3349"
"WARK00NZL","-35.5656","174.6628","111.7000","-5171664.4336","483149.6957","-3689090.5846"
"WARN00DEU","54.1698","12.1014","51.2000","3658758.3210","784464.4427","5147829.4750"
"WDC500USA","38.9206","282.9337","59.4000","1112149.7759","-4842812.0570","3985459.7710"
"WDC600USA","38.9206","282.9337","59.4000","1112149.7759","-4842812.0570","3985459.7710"
"WES200USA","42.6133","288.5067","85.4000","1492213.2963","-4458031.5356","4295989.2810"
"WGTN00NZL","-40.6766","174.8059","26.5000","-4824188.3560","438535.5989","-4135248.8852"
"WHC100USA","33.9799","241.9688","94.7000","-2488162.9143","-4673419.2759","3544597.8624"
"WHIT00CAN","60.7505","224.7779","1427.8000","-2217852.2981","-2200723.2939","5541833.2207"
"WIDC00USA","33.9347","243.6082","445.5000","-2354688.8298","-4745199.5811","3540448.3046"
